Sno,Domain Name,TLD,Create Date,Expiration Date,Lock,Auto-renew,Status,Renewal Price,Privacy,Estimated Value
17,IMOMENTOUS.IN,.IN,2012-08-31,2024-08-31,Locked,On,Active,₹ 499.00,Public,₹ 11.00
18,IMOMENTOUS.ORG,.ORG,2012-08-31,2024-08-31,Locked,On,Active,₹ 982.79,Private,₹ 246.00
19,IMOMENTOUS.US,.US,2012-08-31,2023-08-30,Locked,On,Active,₹ 654.92,Public,₹ 2.00
20,IMONENTOUS.COM,.COM,2012-08-31,2024-08-31,Locked,On,Active,₹ 774.59,Private,₹ 259.00
21,INSTALENT.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 2805.00
22,jobsataurorahealth.com,.COM,2016-06-09,2023-06-09,Locked,On,Active,₹ 774.59,Private,₹ 398.00
23,jobsatwellcare.com,.COM,2016-06-09,2023-06-09,Locked,On,Active,₹ 774.59,Private,₹ 634.00
24,missionswasa.com,.COM,2021-05-10,2026-05-10,Locked,On,Active,₹ 774.59,Private,₹ 903.00
25,MOBILECAREERINDEX.CO,.CO,2012-10-03,2023-10-02,Locked,On,Active,₹ 2048.36,Private,₹ 1.00
26,MOBILECAREERINDEX.COM,.COM,2012-10-03,2023-10-03,Locked,On,Active,₹ 774.59,Private,₹ 1387.00
27,MOBILECAREERSINDEX.COM,.COM,2012-10-03,2023-10-03,Locked,On,Active,₹ 774.59,Private,₹ 1056.00
28,MRECRUIT.IT,.IT,2012-01-20,2023-01-20,Unlocked,On,Active,₹ 654.92,Public,₹ 34.00
29,NATURALDIET.IN,.IN,2013-11-04,2023-11-04,Locked,On,Active,₹ 499.00,Public,₹ 89.00
30,phanomtalent.work,.WORK,2020-04-05,2023-04-05,Locked,On,Active,₹ 654.92,Private,₹ 4.00
31,phenom.buzz,.BUZZ,2020-04-05,2023-04-05,Locked,On,Active,₹ 2458.20,Private,₹ 282.00
32,phenom.care,.CARE,2020-04-05,2024-04-05,Locked,On,Active,₹ 2294.26,Private,₹ 282.00
33,phenom.careers,.CAREERS,2020-04-05,2023-04-05,Locked,On,Active,₹ 3769.67,Private,₹ 282.00
34,phenom.com,.COM,1996-03-05,2029-03-06,Locked,On,Active,₹ 774.59,Private,₹ 25000.00
35,phenom.guru,.GURU,2020-04-05,2024-04-05,Locked,On,Active,₹ 2458.20,Private,₹ 290.00
36,phenom.love,.LOVE,2020-04-05,2024-04-05,Locked,On,Active,₹ 1966.39,Private,₹ 282.00
37,phenom.mobi,.MOBI,2020-04-05,2023-04-05,Locked,On,Active,₹ 1720.49,Private,₹ 46.00
38,phenom.site,.SITE,2021-11-29,2022-11-29,Locked,On,Active,₹ 1559.00,Private,₹ 283.00
39,phenom.work,.WORK,2021-11-29,2022-11-29,Locked,On,Active,₹ 654.92,Private,₹ 283.00
40,PHENOMAUTHORITY.COM,.COM,2015-01-31,2023-01-31,Locked,On,Active,₹ 774.59,Private,₹ 1297.00
41,phenombot.com,.COM,2016-07-14,2026-07-14,Locked,On,Active,₹ 774.59,Private,₹ 1358.00
42,phenomcares.com,.COM,2021-06-03,2026-06-03,Locked,On,Active,₹ 774.59,Private,₹ 1245.00
43,phenomcares.org,.ORG,2021-06-03,2026-06-03,Locked,On,Active,₹ 982.79,Private,₹ 386.00
44,PHENOMCLOUD.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 1407.00
45,PHENOMDAY.COM,.COM,2015-02-09,2023-02-09,Locked,On,Active,₹ 774.59,Private,₹ 1281.00
46,PHENOMENTERPRISE.COM,.COM,2015-01-31,2023-01-31,Locked,On,Active,₹ 774.59,Private,₹ 1127.00
47,PHENOMEXCHANGE.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 1464.00
48,PHENOMGRAPH.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 1248.00
49,phenomhire.com,.COM,2020-04-05,2023-04-05,Locked,On,Active,₹ 774.59,Private,₹ 883.00
50,PHENOMINTELLIGENCE.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 904.00
51,phenomjobs.com,.COM,2018-03-12,2024-03-12,Locked,On,Active,₹ 774.59,Private,₹ 1325.00
52,PHENOMMANAGEMENT.COM,.COM,2015-02-09,2023-02-09,Locked,On,Active,₹ 774.59,Private,₹ 1263.00
53,PHENOMMARKET.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 1408.00
54,phenomology.com,.COM,2019-06-25,2023-06-25,Locked,On,Active,₹ 774.59,Private,₹ 1402.00
55,phenompeople.ai,.AI,2022-04-26,2024-04-26,Locked,On,Active,₹ 12294.26,Private,₹ 36.00
56,PHENOMPEOPLE.COM,.COM,2015-02-09,2023-02-09,Locked,On,Active,₹ 774.59,Private,₹ 2127.00
57,phenompeople.in,.IN,2021-11-26,2022-11-26,Locked,On,Active,₹ 499.00,Public,₹ 16.00
58,phenompeople.net,.NET,2021-11-29,2022-11-29,Locked,On,Active,₹ 900.82,Private,₹ 284.00
59,phenompeoplejobs.com,.COM,2018-03-12,2024-03-12,Locked,On,Active,₹ 774.59,Private,₹ 292.00
60,PHENOMPLATFORM.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 1197.00
61,PHENOMPRO.COM,.COM,2015-01-31,2023-01-31,Locked,On,Active,₹ 774.59,Private,₹ 1331.00
62,phenomtalent.guru,.GURU,2020-04-05,2023-04-05,Locked,On,Active,₹ 2458.20,Private,₹ 14.00
63,phenomtalent.pro,.PRO,2020-04-05,2023-04-05,Locked,On,Active,₹ 1392.62,Private,₹ 11.00
64,phenomtalent.work,.WORK,2020-04-05,2023-04-05,Locked,On,Active,₹ 654.92,Private,₹ 14.00
65,PHENOMTALENTMARKETING.COM,.COM,2015-02-09,2023-02-09,Locked,On,Active,₹ 774.59,Private,₹ 301.00
66,PHENOMTALENTRELATIONSHIPMARKETING.COM,.COM,2015-02-09,2023-02-09,Locked,On,Active,₹ 774.59,Private,₹ 32.00
67,PHENOMTRM.COM,.COM,2015-02-09,2023-02-09,Locked,On,Active,₹ 774.59,Private,₹ 414.00
68,PHENOMTRMCLOUD.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 315.00
69,phenomtxm.com,.COM,2019-01-24,2023-01-24,Locked,On,Active,₹ 774.59,Private,₹ 0.00
70,PHENOMWHIZ.COM,.COM,2015-01-31,2023-01-31,Locked,On,Active,₹ 774.59,Private,₹ 1254.00
71,phenomwork.com,.COM,2020-04-07,2023-04-07,Locked,On,Active,₹ 774.59,Private,₹ 1294.00
72,PHENOMYOU.COM,.COM,2015-01-31,2023-01-31,Locked,On,Active,₹ 774.59,Private,₹ 1368.00
73,PHONERECRUITMENT.COM,.COM,2012-01-20,2023-01-20,Locked,On,Active,₹ 774.59,Private,₹ 1486.00
74,pptoolshub.net,.NET,2018-12-03,2022-12-03,Locked,On,Active,₹ 900.82,Private,₹ 38.00
75,RECRUITERMARKETER.COM,.COM,2014-01-14,2024-01-14,Locked,On,Active,₹ 774.59,Private,₹ 1083.00
76,RECRUITTAP.COM,.COM,2014-01-25,2024-01-25,Locked,On,Active,₹ 774.59,Private,₹ 1399.00
77,RISEINFRA.COM,.COM,2014-02-22,2024-02-22,Locked,On,Active,₹ 774.59,Private,₹ 1283.00
78,SOCIALISMOBILE.COM,.COM,2013-12-05,2024-12-05,Locked,On,Active,₹ 774.59,Private,₹ 1253.00
79,swaasa.com,.COM,2021-08-01,2023-08-01,Locked,On,Active,₹ 774.59,Private,₹ 1044.00
80,swaasa.jobs,.JOBS,2022-03-30,2023-03-30,Locked,On,Active,₹ 9343.44,Public,₹ 2.00
81,swaasa.org,.ORG,2021-05-12,2023-05-12,Locked,On,Active,₹ 982.79,Private,₹ 285.00
82,swasa.us,.US,2021-05-10,2024-05-10,Locked,On,Active,₹ 654.92,Public,₹ 51.00
83,TALENTAP.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1944.00
84,TALENTBOAT.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1296.00
85,TALENTCOLOR.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1342.00
86,talentexperiencedesign.com,.COM,2019-01-24,2023-01-24,Locked,On,Active,₹ 774.59,Private,₹ 956.00
87,talentexperiencemanagement.com,.COM,2019-01-24,2023-01-24,Locked,On,Active,₹ 774.59,Private,₹ 637.00
88,talentexpmgmt.com,.COM,2019-01-24,2023-01-24,Locked,On,Active,₹ 774.59,Private,₹ 334.00
89,TALENTINTRO.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1185.00
90,TALENTLAYER.COM,.COM,2012-05-22,2023-05-22,Locked,On,Active,₹ 774.59,Private,₹ 1327.00
91,TALENTODO.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1281.00
92,TALENTROPE.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1282.00
93,TALENTSTAND.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1365.00
94,TALENTTAP.COM,.COM,2007-03-23,2023-03-23,Locked,On,Active,₹ 774.59,Private,₹ 2314.00
95,talentxm.com,.COM,2019-01-24,2023-01-24,Locked,On,Active,₹ 774.59,Private,₹ 1429.00
96,talentxmgmt.com,.COM,2019-01-24,2023-01-24,Locked,On,Active,₹ 774.59,Private,₹ 443.00
97,TRMCLOUD.COM,.COM,2015-05-27,2023-05-27,Locked,On,Active,₹ 774.59,Private,₹ 1637.00
98,trmsummit.com,.COM,2017-06-26,2027-06-26,Locked,On,Active,₹ 774.59,Private,₹ 1184.00
99,vihu.com,.COM,2004-05-13,2023-05-13,Locked,On,Active,₹ 774.59,Private,₹ 4338.00
100,WEAVETALENT.COM,.COM,2012-05-08,2023-05-08,Locked,On,Active,₹ 774.59,Private,₹ 1225.00
